Kickstart_Version;Sequence;WorkbenchVersion;Hash;ADF_Name;FriendlyName;ADFDescription
3.2;2;3.2.2;504f9b3166948e7a3537f5e81efa30e7;ModulesA4000D3_2_2;ModulesA4000D 3.2.2;ModulesA4000D 3.2.2
3.2;1;3.2.2;C7E6EC3220109185D3019FBA30BEDEF9;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;ModulesA4000T 3.2.2
3.2;2;3.2.2;b430b4ddb9d30c57cc82374dd2ddd889;ModulesA4000T3_2_2;ModulesA4000T 3.2.2;ModulesA4000T 3.2.2
3.2;1;3.2.2;1E3F7F3172D4133F33B12C681542337E;ModulesA5003_2_2;ModulesA500 3.2.2;ModulesA500 3.2.2
3.2;2;3.2.2;1c1d1dbd19023fe47f08ff7bc7c2517b;ModulesA5003_2_2;ModulesA500 3.2.2;ModulesA500 3.2.2
3.2;1;3.2.2;58AF498BF9611BFA625EA722F82A21FC;ModulesA6003_2_2;ModulesA600 3.2.2;ModulesA600 3.2.2
3.2;2;3.2.2;bd2d32a3a96dc6e2ee945f87b00a7646;ModulesA6003_2_2;ModulesA600 3.2.2;ModulesA600 3.2.2
3.2;1;3.2.2;4573B4794B80FA9189DC9FD3AC18EB48;ModulesCD323_2_2;ModulesCD32 3.2.2;ModulesCD32 3.2.2
3.2;2;3.2.2;317a1e4e072e05e363a00cd1b05f4a14;ModulesCD323_2_2;ModulesCD32 3.2.2;ModulesCD32 3.2.2
3.2;1;3.2.2;B83E74D6FC87C40EEBC102355BCF1382;Update3_2_2;Update 3.2.2;Update 3.2.2
3.2;2;3.2.2;17257b34ff0047df27263a5a9104e190;Update3_2_2;Update 3.2.2;Update 3.2.2
3.1;3;3.1;C1C673EBA985E9AB0888C5762CFA3D8F;Extras3_1;Extras 3.1;Extras 3.1 (Cloanto)
3.1;3;3.1;6FAE8B94BDE75497021A044BDBF51ABC;Fonts3_1;Fonts 3.1;Fonts 3.1 (Cloanto)
3.1;3;3.1;C5BE06DAF40D4C3ACE4EAC874D9B48B1;Install3_1;Install 3.1;Install 3.1 (Cloanto)
3.1;3;3.1;B53C9FF336E168643B10C4A9CFFF4276;Locale3_1;Locale 3.1;Locale 3.1 (Cloanto)
3.1;3;3.1;4FA1401AEB814D3ED138F93C54A5CAEF;Storage3_1;Storage 3.1;Storage 3.1 (Cloanto)
3.1;3;3.1;E7B3A83DF665A85E7EC27306A152B171;Workbench3_1;Workbench 3.1;Workbench 3.1 (Cloanto)
3.1;1;3.1;3DE185569A39137BD93FB52C514451FF;Install3_1;Install 3.1;Install 3.1 (Commodore #1)
3.1;1;3.1;7E33DF625EA699E8987F05839BC1203D;Install3_1;Install 3.1;Install 3.1 (Commodore #2)
3.1;1;3.1;A737196914C34B4792512C0407D01DC8;Install3_1;Install 3.1;Install 3.1 (Commodore #3)
3.1;1;3.1;E719F14EB1DDB96A803CEFD8247B3274;Install3_1;Install 3.1;Install 3.1 (Commodore #4)
3.1;1;3.1;F92B33882BB809839E94B7324C9A0CD9;Install3_1;Install 3.1;Install 3.1 (Commodore #5)
3.1;1;3.1;1FB61921FCAEBE926D78257FF658431B;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #1)
3.1;1;3.1;5C134BFB89B1022C810486F54DBA9976;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #2)
3.1;1;3.1;B00F6F4189086943E9C5347A79695BC1;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #3)
3.1;1;3.1;DF591E3DF2CE8FF1CDDCDF1AAF5D01DD;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #4)
3.1;1;3.1;D98EC6EA56B669AD64FD2F9A985560BD;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #5)
3.1;1;3.1;5FE33149F3721926976BF8C165416E57;Workbench3_1;Workbench 3.1;Workbench 3.1 (Commodore #6)
3.1;1;3.1;287AAFEF2DB344F7E7A504AC682D729E;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #1)
3.1;1;3.1;E31FA35EA803E0904FD55177934668CD;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #2)
3.1;1;3.1;A0946B3892F19ADD33C7E9D09164B2D7;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #3)
3.1;1;3.1;4002BDC6209E1EEEF533B4C7CFBC5726;Extras3_1;Extras 3.1;Extras 3.1 (Commodore #4)
3.1;1;3.1;A223CA45C6BC684C3D2616C925C531D9;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #1)
3.1;1;3.1;376A42FF2B4A96D3B4350AA371507ABA;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #2)
3.1;1;3.1;3E7B4B677892E3463CF90A6AD03A99E0;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #3)
3.1;1;3.1;9A842D2972707C7D95D908E06355E418;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #4)
3.1;1;3.1;CA72F1FE62CFFBECD849230CB12C89BB;Storage3_1;Storage 3.1;Storage 3.1 (Commodore #5)
3.1;1;3.1;F96AE483310BFE768202792810774356;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #1)
3.1;1;3.1;D124194E27D38CF26931C42F260D2C61;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #2)
3.1;1;3.1;D0BBC7D1F6A5EDB826753A850C74305F;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #3)
3.1;1;3.1;3A1C0C1320B1D209DB7D29E059A5333E;Locale3_1;Locale 3.1;Locale 3.1 (Commodore #4)
3.1;1;3.1;38D9BA1365A290B458D9727084ECF04A;Fonts3_1;Fonts 3.1;Fonts 3.1 (Commodore #1)
3.1;2;3.1;E862173504862DBA2F43F0FAEF5A9715;Install3_1;Install 3.1;Install 3.1 (Escom #1)
3.1;2;3.1;D541232932EBBB5682572FF770920703;Install3_1;Install 3.1;Install 3.1 (Escom #2)
3.1;2;3.1;87D85B40D0DC408A7C800A2085A62BD3;Install3_1;Install 3.1;Install 3.1 (Escom #3)
3.1;2;3.1;2C48ACF88445ACE751397FB3B43A1F42;Install3_1;Install 3.1;Install 3.1 (Escom #4)
3.1;2;3.1;DB8F3FCB10B06ED2292DC190454ECC62;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #1)
3.1;2;3.1;15DE044E692F69920B4143B832F8D112;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #2)
3.1;2;3.1;4A91C7DA8482725D6F8881927D391325;Workbench3_1;Workbench 3.1;Workbench 3.1 (Escom #3)
3.1;2;3.1;3EFE8AECB0E5D3E795454412F0817E18;Extras3_1;Extras 3.1;Extras 3.1 (Escom #1)
3.1;2;3.1;2D02E4EF01DA3879AFB2DF6618E157FA;Extras3_1;Extras 3.1;Extras 3.1 (Escom #2)
3.1;2;3.1;86C1BBFC9ABC55762A69570E207509AD;Extras3_1;Extras 3.1;Extras 3.1 (Escom #3)
3.1;2;3.1;3CC356AB7EFCEB4176C0D646777677B0;Storage3_1;Storage 3.1;Storage 3.1 (Escom #1)
3.1;2;3.1;A98DC790DC63B92F114512589EF2B983;Storage3_1;Storage 3.1;Storage 3.1 (Escom #2)
3.1;2;3.1;1F13EDB7C85204E687A7C263806AF9FD;Storage3_1;Storage 3.1;Storage 3.1 (Escom #3)
3.1;2;3.1;14A9DB231BA264BD226C2CF9FA471A25;Locale3_1;Locale 3.1;Locale 3.1 (Escom #1)
3.1;2;3.1;126A9FD044F7B357E694620A35CEC5DD;Locale3_1;Locale 3.1;Locale 3.1 (Escom #2)
3.1;2;3.1;9DAC9E2AC45C0D7FB0C3E7CFC594595E;Locale3_1;Locale 3.1;Locale 3.1 (Escom #3)
3.1;2;3.1;F4874C52CE56FD0BD9133B1540A2C892;Locale3_1;Locale 3.1;Locale 3.1 (Escom #4)
3.1;2;3.1;C3F0DAC18D762BC9AD048E617C8781B3;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #1)
3.1;2;3.1;81A7347D0F1DDD2E80B275CF0311C008;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #2)
3.1;2;3.1;49FC786CFFD18544B76D72059C9FD9E1;Fonts3_1;Fonts 3.1;Fonts 3.1 (Escom #3)
